Name,Address,Timing,Mobile.no,Latitude,Longitude
Decathlon Amritsar,"GT Bypass Road,Next to Khanna Paper Mills,Amritsar - 143001",Monday - Sunday 11:00AM - 09:00PM,+91 85589 99724,31.634229474233127,74.87879092085889
Decathlon Ferozepur Road ,"Opposite Park Plaza ,SRS Cinemas, Omaxe Plaza ,Bhai Bala Chowk Ludhiana",Monday - Sunday 11:00AM - 10:00PM,+91 85588 57258,,
Decathlon Zirakpur,"Khasra number 670,671,678,679 ,Village - Singhpura, Hadbast number 43,Chandigarh - Ambala Highway,Zirakpur, Punjab 140603",Monday - Sunday  10:00AM - 09:00PM,+91 85588 57227,30.648533241071426,76.81679264107143
Decathlon Dehradun ,"Plot No - 1591 ,Opposite DDPM Mahindra Showroom Haridwar Bypass,Village, Ajabpur Kalan, Dehradun ,Uttarakhand 248001",Monday - Sunday  10:00AM - 09:00PM,+91 95139 92355,30.33282606858108,78.0405485097973
Decathlon Faridabad,"Lower Ground Floor, EROS EF3 Mall,Sector 20 – A, Mathura Road, Faridabad,Haryana 121101",Monday - Sunday  11:00AM - 09:00PM,+91 80950 86222,28.349431,77.388283
"Decathlon Cyberhub,","Shop No. 5, Ground Floor,,Building No. 8B, Cybercity,,Gurugram, Haryana,,India 122002",Monday - Sunday 11:00AM - 10:00PM,+91 80889 00035,28.461143192771083,77.08929692289156
Decathlon Huda City Centre,"Huda City Centre Metro Station,Metro Park, Gurgaon, Haryana 122007 ,(First Floor Above Starbucks)",Monday - Sunday 11:30 to 9:30,+91 99998 69464,28.46916295,77.063661
Decathlon Sohna Road,"Omaxe Celebration Mall, Subhash Chowk,Sohna Road, Sector 48, Gurgaon,Haryana 122103",Monday - Sunday 11:00AM - 10:00PM,+91 98732 89635,28.19746575,77.0492973
Decathlon Dwarka,"Pinnacle Mall Plot No. 3,,Sector 10, Dwarka,,Delhi - 110075",Monday - Sunday  11:00AM - 10:00PM,+91 95135 90006,28.59298947202381,77.05925020714285
Decathlon CBD Shahdara,"Aggarwal Funcity Mall,Maharshi Valmiki Marg, Vishwas Nagar Extension,Vishwas Nagar, Shahdara,Delhi, 110032",Monday - Sunday  11:00AM - 10:00PM,+91 74063 09922,28.67563692352941,77.28546478529411
Decathlon Khel Gaon,"Ansal Plaza Mall, Khel Gaon,August Kranti Marg, HUDCO Place,Andrews Ganj Extension, New Delhi,Delhi 110049",Monday - Sunday 10:00AM - 09:00PM,+91 72910 52861,28.55952352916667,77.222082975
Decathlon Rohini,"The MetroWalk First Floor Block C ,Sector 10, Near Rithala Metro Station ,Rohini, Delhi – 110 085",Monday - Sunday  11:00AM - 10:00PM,+91 88841 81700,,
"Decathlon Jaipur Centre,","Ground Floor, Jaipur Center,,B-2 Byepass & Tonk Rd Junction,,Jaipur, Rajasthan,,India 302018",Monday - Sunday  10:00AM - 10:00PM,+91 84319 10066,26.85295615416667,75.79670915277778
Decathlon Gomti Nagar,"TC-G4, Railway Station Road,Vibhuti Khand, Gomti Nagar,Lucknow, Uttar Pradesh 226010",Monday - Sunday  10:00AM - 10:00PM,+91 73170 00591,26.85539569375,80.9969802796875
Decathlon Indirapuram,"Indrapuram Habitat Centre (IHC),First Floor, Plot No-16, Ahinsa Khand-1,,Indrapuram, Ghaziabad,,Uttar Pradesh - 201014",Monday - Sunday  11:00AM - 10:00PM,+91 98732 84742,28.640656722580648,77.36823753225806
"Decathlon Noida,","Unit No. A-401 & 402,,3rd Floor, Mall of India ,M 03, Sector 18, Noida, ,India - 201301",Monday - Sunday  10:00AM - 10:00PM,+91 96438 18135,28.599071286740333,77.335572360221
Decathlon Azara,"Circle Dakhin Rani, Assam Dag No. 656, ,Patta No. 140 Goalpara - Guwahati Road Near Rani Gate Vill-Kahikuchi,,Azara, Guwahati, Assam 781017",Monday - Sunday 08:00AM - 09:00PM,+91 80950 79700,26.135022725,91.62442619375
Decathlon CG Road,"Ground Floor CG Square Mall,,near Panchvati Cross Roads,,CG Road, Ahmedabad ,CG Road, Ahmedabad",Monday - Sunday 10:00AM - 10:00PM,+91 84319 10061,,
Decathlon Motera,"FP 38, TP 46 Motera,Next to McDonalds, Motera - Gandhinagar Road,Ahmedabad - 380005",Monday - Sunday 10:00AM - 10:00PM,+91 95383 77844,23.084259712121213,72.59272832727272
Decathlon Dumas Road,"Opposite Surat Airport,Surat - 394550, Gujarat.",Monday - Sunday  10:00AM - 10:00PM,+91 99251 33996,21.093892,72.707368
Decathlon Sevasi,"Opposite Kabir Farm ,Gotri-Sevasi Road, Vadodara - 391101",Monday - Sunday  10:00AM - 10:00PM,+91 95375 34777,22.316229,73.136259
Decathlon Applewoods ,"Next to Applewoods Township,Near Shantipura crossroads,Sardar Patel Ring Road - Ahmedabad ,India 380058",Monday - Sunday  10:00AM - 10:00PM,+91 97262 69792,23.02428099473684,72.46970026052631
Decathlon Indore,"opposite to DPS school,bypass road Indore - 452010",Monday - Sunday  10:00AM - 08:00PM,+91 95225 58391,22.75359085283019,75.89190508679246
Decathlon Salt Lake,"Street Number 17, EP Block, Sector V,Salt Lake City, Kolkata,West Bengal 700091",Monday - Sunday  10:00AM - 10:00PM,+91 95139 55580,22.576535620408162,88.43045333265306
Decathlon Howrah,"NH-6, Mouza Khalisani, J L No.96,P S Uluberia, District Howrah,Kolkata - 711307, West Bengal.","Monday - Friday 11:00AM - 07:00PM , Saturday - Sunday  11:00AM - 07:00PM",+91 88847 77004,22.5176482,88.131751
Decathlon Phulnakhara,"Dag Nos. 363, 367 and 368,NH5, Beside Aditya Motors, Bandhchadda ,alias Kacharamala, PO Phulnakhara ,District Cuttack, Bhubaneswar - 754001, Odisha.",Monday - Sunday  10:00AM - 09:00PM,+91 80950 50429,20.37471422857143,85.90786605714285
Decathlon Wagholi ,"Survey No. 1333/4, Next to Soyarik Garden,hadale Nagar, Pune Nagar road,Wagholi, Tal-Haveli, Pune - 412207 ,(Landmark: After Kaveri Hotel)",Monday - Sunday  09:00AM - 09:00PM,+91 77698 63893,18.582091185714287,74.01727863142858
Decathlon Nashik ,"Survey No.6/1/2,Off Mumbai - Nashik Expressway, Vilholi,District – Nashik, Maharashtra - 422010",Monday - Sunday 10:00AM - 10:00PM,+91 77983 60284,19.960447015384613,73.75445521538461
"Decathlon SGS Mall,","SGS Mall, Lower Ground Floor,,231, Moledina Road,,Camp, Pune, Maharashtra,,India 411001",Monday - Sunday  11:00AM - 10:00PM,+91 90190 23844,18.529357886238532,73.86880201834862
Decathlon Thane,"Level 1, Big Shopping Center,Ghodbunder Road, Kasarvadawali Gaon,Thane West - Thane 400615 (Landmark: Hypercity)",Monday - Sunday  10:00AM - 10:00PM,+91 96192 97688,19.257924495238097,72.97063273333333
Decathlon Vasai Virar,"Next to Galaxy Dhaba, Wakanpada,Nalasopara East ,Maharashtra - 401208.","Monday - Friday  11:00AM - 09:00PM , Saturday - Sunday 10:00AM - 10:00PM",+91 95135 90004,19.38855410625,72.86969448125
Decathlon Dahisar,"Ground Floor, Thakur Mall ,Dahisar East, Mumbai ,Maharashtra 401104",Monday - Sunday 11:00AM - 10:00PM,+91 95137 46222,19.266544333333336,72.87885986666666
Decathlon Atria Mall ,"First floor Atria Mall Dr. Annie Beasant Road,Next to Royal Garden, Opposite Poonam Chambers,Worli, Lotus Colony ,Worli Mumbai, Maharashtra",Monday - Sunday  10:00AM - 10:00PM,+91 95137 46218,,
Decathlon Amanora,"Lower Ground Floor ,Amanora Town Centre Mall ,Hadapsar, Pune- 411028",Monday - Sunday  11:00AM - 10:00PM,+91 73910 55670,18.501043553846152,73.93366511428572
"DSI Wakad,","Opposite Indira College,,Sr. No. 56/3/16P,,Vision One Mall,,Tathwade, Pune - 411057",Monday - Sunday 9:00 AM - 9:00 PM,+91 90191 55903,18.589531493288593,73.73658243288591
"Decathlon Murali Nagar - Vizag,","Ground Floor, Hemas Twin Bliss – Exotica, 39-6-71/5/1, ,Botcha Square, Murali Nagar,,Visakhapatnam, Andhra Pradesh,,India 530007",Monday - Sunday  10:00AM - 9:00PM,+91 63665 50275,17.746732740000002,83.26637454
Decathlon Enikepadu ,"Door No.11-85, Revenue Survey No's.183/1 and 183/3 ,Opp SRK Engineering College, Enikepadu ,Krishna District , Vijayawada ,Andhra Pradesh, 521108",Monday - Sunday  10:00AM - 10:00PM,+91 95139 01487,16.5213402,80.687574025
"Decathlon Secunderabad,","Shop No. G-1 and F-1, T- 19 Towers,,House No. 5-4-156, 157, 173 to 179 and 184/2/a,,Indira Nagar, Ginwala, ,Compound, MG Road,,Secunderabad, Telangana,,India 500003",Monday - Sunday  11:00AM - 9:00PM,+91 80889 00036,17.44178890263158,78.49059373026316
Decathlon Erramanzil,"Lower Ground Floor ,L&T Mall, Opposite Irrum Manzil Metro Station,Panjagutta, Hyderabad- 500082",Monday - Sunday  11:00AM - 10:00PM,+91 95135 90077,17.42734944814815,78.45449876296296
Decathlon Kukatpally ,"Lower ground floor ,Plot No: S2, Survey No: 1050 ,J.N.T.U Road, Phase 3, KPHB Colony ,Kukatpally, Hyderabad ,Telangana 500072",Monday - Sunday  10:00AM - 10:00PM,+91 91604 24455,17.490903771910112,78.40100581516853
Decathlon Kompally,"Survey no.48/2,Pet- Basheerabad,RR District-500067",Monday - Sunday 10:00AM - 10:00PM,+91 80950 75600,17.467108992857142,78.46587501428571
Decathlon Uppal ,"No. 61 , Peerzadiguda ,Ghatkesar, Uppal, Hyderabad - 500039",Monday - Sunday  10:00AM - 10:00PM,+91 88860 17235,17.4077288553719,78.56650390578513
Decathlon Shamshabad,"Opposite GMR Aero Towers,Rajiv Gandhi international airport,Shamshabad, Hyderabad, Andhra Pradesh 500409,(Land Mark – Opposite GMR Building)",Monday - Sunday  10:00AM - 10:00PM,+91 9581800054 / 040 24008341,,
Decathlon Calangute Goa,"Ground and First Floor, Survey No 123/1, ,Calangute Mall, Gaura Vaddo, ,Calangute, Bardez, North Goa, ,Goa 403516",Monday - Sunday  11:00AM - 10:00PM,+91 95139 92350,15.538423924242425,73.76258915454545
Decathlon Kalamassery ,"Junction ICT (International Container Terminal),Road, NH 47, Beside SCMS College ,Kalamassery – Kochin - 683104",Monday - Sunday 10:00AM - 10:00PM,+91 99614 10011,10.05753358181818,76.31918232727273
Decathlon Vyttila,"NH Bypass NH 47 Thykoodam,Vyttila PO Kochi,Kerala, India - 682019",Monday - Sunday 10:00AM - 10:00PM,91 96330 77277,9.970015077922078,76.31530308701298
Decathlon Thrissur,"Survey No. 518,517/4 NH Bypass Road Thalore,Thrissur, Kerala 680306",Monday - Sunday 10:00AM - 9:00PM,+91 70344 28000 / 0484 330 6138,10.47789051125,76.24086765874999
Decathlon Kottayam,"Opp. Nissan Showroom Thellakom,Kottayam - 686630",Monday - Sunday 10:00AM - 09:00PM,+91 90728 06000,9.646491623076923,76.54936693076922
Decathlon Calicut,"Survey No. 18/2,Olavanna Patheerankavu,Kozhikode - 673019",Monday - Sunday 10:00AM - 10:00PM,+91 90720 28888,11.220363256060606,75.8483729030303
Decathlon Madurai,"147/2B1, Melur main road,Narasingam bit 4, High Court Road Near to reliance market,Ulaganeri, Madurai - 625107,Tamil Nadu","Monday - Friday 10:00AM - 09:00PM, Saturday - Sunday 09:00AM - 10:00PM",+045 22424585,9.94939475,78.17138818333333
Decathlon Perungudi,"Perungudi Rajiv gandhi salai,OMR, Kandanchavadi,Chennai - 600096","Monday - Friday 10:00AM - 10:00PM, Saturday - Sunday 09:00AM - 10:00PM",+91 7823944214,12.957091825,80.2422415375
Decathlon OMR Padur,"Survey No 458 & 459,Near Hindustan Engineering University,Padur Village, Chengelpet Thaluk,Old Mahabalipuram Road,Kancheepuram District, Chennai - 603103",Monday - Sunday 10:00AM - 10:00PM,+91 89397 96181,12.815354423529412,80.22017224117647
Decathlon Coimbatore,"500 mtrs from Le Meridien,GS NO 716/2B & 717/2B,Neelambur Village, Sulur Taluk,Coimbatore – 641062",Monday - Sunday 09:00AM - 09:00PM,+0422 - 2978700,11.0632433375,77.074455275
Decathlon Teynampet,"365, Anna Salai, Poes Road,Subbarayan Nagar, Teynampet,Chennai - 600018",Monday - Sunday 10:00AM - 10:00PM,+91 93539 03276,13.036977553061224,80.25540061428572
Decathlon Mogappair,"Ward G - Block No 22 of Athipattu Village,N.H Byebass Road & Ambattur Vanagaram Road, Ambattur Taluk,Tiruvallur District, Within Greater Chennai Corporation - 600058",Monday - Sunday 10:00AM - 10:00PM,+91 95139 55601,13.102272133333333,80.15730896666666
Decathlon Bharath Mall ,"1st Floor, Opposite -KSRTC,Bejai,Kavoor Road, Mangaluru 575013",Monday - Sunday 11:00AM - 10:00PM,+91 95139 38711,,
Decathlon Brigade Road,"EVA Mall, Ashok Nagar ,Victoria Layout, Bangalore - 560025",Monday - Sunday  09:00AM - 10:00PM,+91 95137 55935,12.968427045810056,77.60697027932962
Decathlon Kormangala,"Koramangala Mantri Jupiter Mall, 80 feet road,,KHB Games Village, Koramangala,,Bengaluru, Karnataka 560047",Monday - Sunday  10:00AM - 10:00PM,+91 95139 55582,12.952823841666667,77.6206778
Decathlon Hennur Road,"Survey No 12/2 Hennur ,Salarpuria situated at Byrati Village,Bangalore, Karnataka - 560077",Monday - Sunday 09:00AM - 10:00PM,+91 95388 37702,13.0535555,77.63668091891891
Decathlon Mysore City ,"Corporation Assessment No.673/3 N 1/3,Opposite to Airforce Selection Board,Next to Postal Training Centre,Bannur Rd, Mysuru, Karnataka 570011",Monday - Sunday 10:00AM - 10:00PM,+91 96200 42366,12.304588273333334,76.68788758
Decathlon ETA Binnypet,"ETA Mal, Hosakere Road,Binny Pete, Bengaluru – 560026",Monday - Sunday  10:00AM - 10:00PM,+91 74061 79922,12.950508528571428,77.55262242142857
Decathlon Old Madras Road,"Survey no 39/3 bandapura village,Bidahallihobli, Bangalore East Taluk ,Bangalore  - 560049",Monday - Sunday  09:00AM - 09:00PM,+91 80950 55152,13.029847557692307,77.71752095769232
Decathlon Anubhava ,"Survey No-78/10 ,A2 - Chikkajala Village,Bellary Road Bangalore-562157",Monday - Sunday  08:00AM - 10:00PM,+91 88844 19976,13.155596377777778,77.6103089
Decathlon Hosur Road ,"#242, Bommasandra Industrial Area,Next to D Mart and Indian Oil Petrol Pump,Hosur Road, Bangalore – 560099",Monday - Sunday  09:00AM - 09:30PM,+91 80951 40680,12.82694126969697,77.68788143030302
Decathlon Mysore Road,"2.5 Km after Nice Road Junction,Next to KAVCON Factory,(Land Mark – Opposite Rajarajeshwari Dental College)""",Monday - Sunday  09:00AM - 10:00PM,+91 95380 19492,,
Decathlon Whitefield,"2/E1, Devasdabdar ,Near Phoenix Market City Whitefield ,ITPL Main Rd, KEB Colony ,Industrial Area, Hoodi,Bengaluru, Karnataka 560048",Monday - Sunday  08:00AM - 10:00PM,+91 80950 00898,12.992134213548388,77.70180347612903
Decathlon Bannerghatta ,"""Raj Alkaa Park, Joseph garden ,Kalena Agrahara village ,Bannerghatta road ,Begur hobli, Bangalore ,India 560083",Monday - Sunday  09:00AM - 10:00PM,+91 80955 56217,12.874512993333333,77.57970092666666
Decathlon Sarjapur ,"Survey 96/1 ,Sarjapur Road, Bangalore ,India 560035",Monday - Sunday  08:00AM - 10:00PM,+91 95387 12550,12.906209285945947,77.68586145675675
Decathlon Hubli,"Manjunath nagar,Hubli -580030 ,Landmark - Next to big bazzar",Monday - Sunday  11:00AM - 09:00PM,+91 80950 55140,15.34933822857143,75.11002382142857
